# 078 - Frequent Words

|friendly|ˈfren(d)lɪ|дружеский
|teacher|ˈti:ʧə|учитель
|slice|slaɪs|ломтик, часть, доля, резать ломтями
|wildly|ˈwaɪldlɪ|дико, буйно
|shaft|ʃɑ:ft|древко (копья и т.п.), стрела, копье, луч (света)
|rescue|ˈreskju:|спасение, спасать
|cabinet|ˈkæbɪnɪt|сервант, шкафчик, кабинет, буд уар
|downstairs|daʊnˈsteəz|вниз (по лестнице), внизу, в нижнем этаже
|innocent|ˈɪnəsnt|невиновный
|belly|ˈbelɪ|живот
|ankle|ˈæŋkl|лодыжка, щиколотка
|marshal|ˈmɑ:ʃl|маршал, амер. судебный исполнитель
|scientist|ˈsaɪəntɪst|ученый
|reverse|rɪˈvɜ:s|противоположный, поворачивать обратно
|Saturday|ˈsætədeɪ|суббота
|material|məˈtɪərɪəl|материал, ткань, материя, материальный
|knot|nɒt|узел, завязывать, связывать
|shudder|ˈʃʌdə|дрожь, содрагание, вздрагивать, содрагаться
|reality|rɪˈælɪtɪ|действительность
|mood|mu:d|настроение
|rent|rent|арендная плата, арендовать, сдавать в аренду
|whoever|hu:ˈevə|кто бы ни, любой
|investigation|ɪnˌvestɪˈɡeɪʃn|расследование, исследование, изучение
|tent|tent|палатка
|theatre|ˈθɪətə|театр
