# 079 - Frequent Words

|farm|fɑ:m|ферма
|knight|naɪt|рыцарь
|honest|ˈɒnɪst|честный
|dumb|dʌm|немой, бессловесный, сленг: глупый, тупой
|research|rɪˈsɜ:ʧ|исследование
|limp|lɪmp|хромота, хромать, мягкий, нежный, вялый
|fling|flɪŋ|(flung, flung [flʌŋ]) бросать, швырять, ринуться
|winter|ˈwɪntə|зима
|per cent|pəˈsent|процент
|appearance|əˈpɪərns|rпоявление
|depend|dɪˈpend|зависеть
|bean|bi:n|боб
|sharply|ˈʃɑ:plɪ|резко
|cord|kɔ:d|веревка, шнур
|nightmare|ˈnaɪtmeə|кошмар, страшный сон, перен. ужас
|tilt|tɪlt|наклонять(ся), опрокидывать, выворачивать
|amount|əˈmaʊnt|количество, сумма
|dot|dɒt|точка, пятнышко, ставить точки
|fuel|fjʊəl|топливо, горючее, заправлять топливом
|neighbourhood|ˈneɪbəhʊd|соседство, близость, район, округ
|speech|spi:ʧ|речь, выступление
|stall|stɔ:l|стойло, прилавок, ставить в стойло
|progress|ˈprəʊɡres|прогресс, развитие, успехи, развиваться
|torch|tɔ:ʧ|факел, фонарик, освещать факелами
|tool|tu:l|(рабочий) инструмент, перен. орудие
