# 080 - Frequent Words

|sandwich|ˈsæn(d)wɪʤ|сандвич
|cart|kɑ:t|телега, повозка
|statement|ˈsteɪtmnt|заявление, утверждение
|shave|ʃeɪv|бритье, (shaved, shaved, shaven) брить(ся)
|handsome|ˈhænsm|красивый
|nut|nʌt|орех, псих, чокнутый
|channel|ˈʧænl|пролив, канал
|furious|ˈfjʊərɪəs|взбешенный, яростный, неистовый
|lightning|ˈlaɪtnɪŋ|молния
|route|ru:t|маршрут, путь, курс
|relieve|rɪˈli:v|облегчать, освобождать
|pillow|ˈpɪləʊ|подушка
|aunt|ɑ:nt|тетя
|halfway|hɑ:fˈweɪ|на полпути
|invite|ɪnˈvaɪt|приглашать
|somewhat|ˈsʌmwɒt|отчасти, до некоторой степени, несколько
|bullshit|ˈbʊlʃɪt|чушь, ерунда
|request|rɪˈkwest|просьба, просить
|proper|ˈprɒpə|подходящий, присущий, свойственный
|plunge|plʌn(d)ʒ|нырять, окунать(ся)
|contract|ˈkɒntrækt|договор, [kənˈtrækt] заключать договор
|desperate|ˈdesprət|a - отчаянный, безнадежный, ужасный
|footstep|ˈfʊtstep|шаг, ~s шаги
|truly|ˈtru:lɪ|правдиво, искренне
|rubber|ˈrʌbə|резина, ластик
