# 086 - Frequent Words

|dangle|ˈdæŋɡl|свободно висеть, болтаться, волочиться
|escort|ˈeskɔ:t|охрана, сопровождение, [ɪsˈkɔ:t] сопровождать
|coin|kɔɪn|монета
|dean|di:n|декан, настоятель
|meal|mi:l|еда, принятие пищи
|furniture|ˈfɜ:nɪʧə|мебель
|flush|flʌʃ|краска, румянец (на л ице), вспыхнуть, (по)краснеть
|bubble|ˈbʌbl|пузырь(ок), дутое предприятие, пузыриться, кипеть
|famous|ˈfeɪməs|знаменитый
|twin|twɪn|близнец, двойник
|insurance|ɪnˈʃʊərns|страхование
|soak|səʊk|промачивать, пропитывать, впитывать
|Wednesday|ˈwenzdeɪ|среда
|exterior|ɪkˈstɪərɪə|внешность, наружность, внешний, наружный
|shepherd|ˈʃepəd|пастух, религ. пасты рь
|afford|əˈfɔ:d|иметь возможность, предоставлять, давать
|charm|ʧɑ:m|обаяние, очаровани е, очаровывать
|ourselves|aʊəˈselvz|себя, сами
|alert|əˈlɜ:t|n - тревога, бдительный, объявлять тревогу
|pride|praɪd|гордость, предмет гордости, спесь, гордыня
|screenplay|ˈskri:npleɪ|сценарий
|filter|ˈfɪltə|фильтр, фильтровать
|freedom|ˈfri:dəm|свобода
|hover|ˈhɒvə|парить, зависать (птица, самолет, облако), вертеться
|brake|breɪk|тормоз, тормозить
