# 088 - Frequent Words

|hut|hʌt|хижина, лачуга
|ninety|ˈnaɪntɪ|девяносто
|sue|s(j)u:|возбуждать дело, судиться
|represent|reprɪˈzent|представлять
|remote|rɪˈməʊt|дальний, уединенный, маловероятный
|plus|plʌs|плюс
|bruise|bru:z|ушиб, ушибать
|clay|kleɪ|глина
|relationship|rɪˈleɪʃnʃɪp|отношение, взаимоотношение, связь, родство
|neighbour|ˈneɪbə|сосед, соседка
|tension|ˈtenʃn|напряженность
|standard|ˈstændəd|стандарт, норма, образец, стандартный, типовой
|individual|ɪndɪˈvɪdjʊl|личность, человек, личный, индивидуальный
|extremely|ɪkˈstri:mlɪ|крайне, очень
|accent|ˈæksənt|ударение, акцент, [ækˈsent] акцентировать
|toe|təʊ|палец (на ноге), носок (башмака)
|affair|əˈfeə|дело
|illuminate|ɪˈl(j)u:mɪneɪt|освещать
|bust|bʌst|бюст (скульпт., женск.), амер. халтура, взломать
|swarm|swɔ:m|толпа, толпиться
|hurl|hɜ:l|швырять, валить
|casually|ˈkæʒuəlɪ|случайно
|medium|ˈmi:dɪəm|(мн. ч. media) средство, способ
|melt|melt|таять, плавить(ся)
|access|ˈækses|доступ, подход
