# 089 - Frequent Words

|impression|ɪmˈpreʃn|впечатление
|uncomfortable|ʌnˈkʌmftəbl|неудобный
|perform|pəˈfɔ:m|выполнять, совершать, исполнять (роль)
|unconscious|ʌnˈkɒnʃəs|несознающий, бессознательный
|locker|ˈlɒkə|(запирающийся) шкафчик
|speaker|ˈspi:kə|оратор, спикер
|visitor|ˈvɪzɪtə|посетитель, гость
|laser|ˈleɪzə|лазер
|personally|ˈpɜ:snlɪ|лично, сам
|anxious|ˈæŋ(k)ʃəs|озабоченный, сильно желающий
|deserve|dɪˈzɜ:v|заслуживать
|unusual|ʌnˈju:ʒʊəl|необыкновенный
|delight|dɪˈlaɪt|удовольствие, восхищать
|root|ru:t|корень, причина, укореняться, внедрять(ся)
|proceed|prəˈsi:d|продолжать(ся), возобновлять, происходить
|servant|ˈsɜ:vnt|слуга, прислуга
|dish|dɪʃ|блюдо (посуда), блюдо (кушанье), ~es посуда
|federal|ˈfedrl|федеральный
|frantically|ˈfræntɪklɪ|неистово
|robe|rəʊb|халат, мантия
|whirl|wɜ:l|вертеть(ся)
|horrible|ˈhɒrɪbl|ужасный
|fumble|ˈfʌmbl|нащупывать, шарить, неловко обращаться
|headlight|ˈhedlaɪt|фара (автомобиля)
|probe|prəʊb|исследовать
