# 090 - Frequent Words

|invisible|ɪnˈvɪzɪbl|невидимый
|etc.|ˌetˈsetərə|и т. д., и т. п.
|tile|taɪl|черепица, плитка, крыть черепицей
|pleasant|ˈpleznt|приятный, милый
|mist|mɪst|(легкий) туман, дымка
|snarl|snɑ:l|рычание, рычать
|staircase|ˈsteəkeɪs|лестница, лестничный марш
|balcony|ˈbælkənɪ|балкон
|divorce|dɪˈvɔ:s|n - развод, разводиться
|tourist|ˈtʊərɪst|турист
|joker|ˈʤəʊkə|шутник, джокер (ка рт.)
|pole|pəʊl|столб, полюс
|column|ˈkɒləm|колонн а, столб(ик)
|confidence|ˈkɒnfɪdns|доверие
|lad|læd|парень, юноша
|tighten|ˈtaɪtn|сжимать(ся)
|period|ˈpɪərɪəd|период, время
|rob|rɒb|грабить, обкрадывать
|fake|feɪk|подделка, фальшивка, подделывать
|district|ˈdɪstrɪkt|район, округ
|curb|kɜ:b|узда, сдерживание, обочина, край тротуароа
|pulse|pʌls|пу льс, биение, ритм, пульсировать
|expert|ˈekspɜ:t|знаток, эксперт, опытный, знающий
|routine|ru:ˈti:n|заведенный порядок, рутина, шаблон
|terminal|ˈtɜ:mɪnl|конец, конечная станция, конечный
