# 092 - Frequent Words

|headquarters|hedˈkwɔ:təz|штаб, ставка, штаб-квартира
|pal|pæl|товарищ, приятель
|arch|ɑ:ʧ|арка, дуга, перекрывать сводом, выгибать
|dull|dʌl|тусклый, тупой, скучный, утомлять, затуплять
|gale|ɡeɪl|сильный ветер, шторм
|maintain|meɪnˈteɪn|поддерживать
|annoy|əˈnɔɪ|надоедать, раздражать
|tune|tju:n|мелодия, настраивать
|hick|hɪk|презр. провинциал, деревенщина
|schedule|ˈʃedju:l|расписание, график, планировать
|witch|wɪʧ|колдунья, ведьма
|depth|depθ|глубин а (тж. перен.)
|skill|skɪl|мастерство, искусство, талант, способности
|hush|hʌʃ|тишина, водворять тишину, замолчать
|lounge|laʊn(d)ʒ|гостиная, холл
|coffin|ˈkɒfɪn|гроб
|downward|ˈdaʊnwəd|вниз
|sneak|sni:k|трус, красться, ускользать, школ. ябедничать
|crap|kræp|глупость, вздор
|reflection|rɪˈflekʃn|отражение, отблеск, размышление, раздумье
|robot|ˈrəʊbɒt|робот
|cargo|ˈkɑ:ɡəʊ|груз (судна, самолета)
|alongside|əlɒŋˈsaɪd|рядом
|log|lɒɡ|бревно, полено
|ambulance|ˈæmbjʊlns|машина скор. помощи, врачебный пункт
