# 095 - Frequent Words

|recently|ˈri:sntlɪ|недавно
|weekend|wi:kˈend|суббота и воскресенье, конец недели, уикенд
|scale|skeɪl|шкала, масштаб, ~s весы, взбираться
|sequence|ˈsi:kwns|последовательность, ряд, последствие
|outta|ˈaʊtə|out of вне, за пределами чего-л.
|bandage|ˈbændɪʤ|бинт, повязка, бинтовать, перевязывать
|shame|ʃeɪm|стыд, позор, a ~ обида, жалость, стыдить
|urge|ˈɜ:ʤ|побуждение, сильное желание, убеждать
|baseball|ˈbeɪsbɔ:l|бейсбол
|chopper|ˈʧɒpə|нож (мясника), колун
|spy|spaɪ|(мн. ч. spies) шпион, шпионить, следить
|Monday|ˈmʌndeɪ|понедельник
|intense|ɪnˈtens|сильный, интенсивный, напряженный
|accompany|əˈkʌmpənɪ|сопровождать, провожать, аккомпанировать
|torture|ˈtɔ:ʧə|пытка, пытать
|birthday|ˈbɜ:θdeɪ|день рождения
|champagne|ʃæmˈpeɪn|шампанское
|suspicious|səˈspɪʃəs|подозрительный
|assassin|əˈsæsɪn|убийца (наемный)
|sentence|ˈsentns|предложение, приговор, приговаривать
|fifth|fɪfθ|пятый
|lonely|ˈləʊnlɪ|одинокий
|zip|zɪp|застежка-молния, застегивать(ся) на молнию
|proof|pru:f|доказательство, испытание, непроницаемый
|microphone|ˈmaɪkrəfəʊn|микрофон
