# 04 - IELTS Words

|disabuse|ˌdɪsəˈbju:z|выводить из заблуждения
|culprit|ˈkʌlprɪt|обвиняемый; подсудимый
|whatever|wɒtˈevə|любой, всякая всячина
|morbid|ˈmɔ:bɪd|болезненный; нездоровый
|slothful|ˈsləʊθfʊl|инертный, пассивный, вялый; ленивый
|subtle|ˈsʌtl|утонченный, изысканный
|eventually|ɪˈvenʧuəlɪ|в итоге, в конце концов
|community|kəˈmju:nɪtɪ|общество
|shift|ʃɪft|уловка, увертка, хитрость
|nurture|ˈnɜ:ʧə|питание; пища
|skim|skɪm|поверхностно знакомиться
|erroneous|ɪˈrəʊnɪəs|ложный; неверный, неправильный
|steep|sti:p|крутой
|marginal|ˈmɑ:ʤɪnl|крайний, предельный
|gradual|ˈɡræʤʊəl|постепенный; последовательный
|decline|dɪˈklaɪn|падение, спад
|decrease|dɪˈkri:s|понижение; убавление
|leaflet|ˈli:flɪt|листовка; тонкая брошюра
|serving|ˈsɜ:vɪŋ|кусок, порция
|digestion|daɪˈʤesʧn|усвоение пищи, пищеварение
|bodily|ˈbɒdɪlɪ|телесный, физический
|expenditure|ɪkˈspendɪʧə|потребление, расходование, трата
|yeast|ji:st|дрожжи, закваска
|dough|dəʊ|тесто
|vowel|ˈvæʊəl|гласный звук
