# 07 - IELTS Words

|dampen|ˈdæmpn|уменьшать, ослаблять, притуплять
|columnist|ˈkɒləmnɪst|корреспондент, обозреватель
|jolt|ʤəʊlt|толчок; соударение
|java|ˈʤɑ:və|кофе
|sip|sɪp|маленький глоток
|skim|skɪm|едва касаться, нестись
|latte|ˈlæteɪ|кофе-эспрессо с горячим молоком
|quench|kwenʧ|гасить, тушить
|richness|ˈrɪʧnəs|богатство
|serene|sɪˈri:n|ясный и спокойный
|nap|næp|дремота; короткий сон
|fatigue|fəˈti:ɡ|усталость, утомление
|gargle|ˈɡɑ:ɡl|полоскать (горло)
|errand|ˈernd|поручение; задание
|indulge|ɪnˈdʌlʤ|удовлетворять свои желания
|pretzel|ˈpretsl|крендель (сдобный)
|bargain|ˈbɑ:ɡɪn|торговаться
|inevitable|ɪnˈevɪtəbl|неизбежный, неминуемый
|disposal|dɪˈspəʊzl|право распоряжаться
|complimentary|kɒmplɪˈmentrɪ|любезный
|oversight|ˈəʊvəsaɪt|недосмотр, оплошность, контроль
|bump|bʌmp|колдобина, выбоина
|mash|mæʃ|месиво, мягкая масса
|stale|steɪl|несвежий, черствый
|rotten|ˈrɒtn|гнилой, прогнивший; испортившийся
