# 08 - IELTS Words

|nourish|ˈnʌrɪʃ|кормить, питать
|corkscrew|ˈkɔ:kskru:|штопор
|tablecloth|ˈteɪblklɒθ|скатерть
|dishwasher|ˈdɪʃwɒʃə|посудомоечная машина
|nmp3in|ˈnɒɡɪn|маленькая кружка, чашка
|crude|kru:d|сырая нефть
|chickpea|ˈʧɪkpi:|турецкий горох
|soak|səʊk|замачивание, вымачивание
|drain|dreɪn|осушать, отводить воду
|sink|sɪŋk|раковина
|saucepan|ˈsɔ:spən|кастрюля
|simmer|ˈsɪmə|медленное кипение; выкипание
|canned|kænd|консервированный (о продуктах)
|strain|streɪn|процеживать
|grate|ɡreɪt|натирать (на терке)
|chop|ʧɒp|рубить
|clove|kləʊv|зубок чеснока, гвоздика
|blend|blend|смесь
|puppy|ˈpʌpɪ|молодой тюлень
|poppy|ˈpɒpɪ|маковый
|scarcity|ˈskeəsɪtɪ|недостаток, нехватка
|outbreak|ˈæʊtbreɪk|выброс, извержение
|cultivated|ˈkʌltɪveɪtɪd|обработанный; возделанный
|fertilizer|ˈfɜ:tɪlaɪzə|удобрение; удобритель
|ripen|ˈraɪpn|зреть; созревать
