# 09 - IELTS Words

|crop|krɒp|зерновые
|yield|ji:ld|плоды, урожай (тж. сбор урожая)
|confined|kənˈfaɪnd|заключенный, отбывающий наказание
|starvation|stɑ:ˈveɪʃn|голод; голодание
|vocational|vəʊˈkeɪʃnl|профессиональный
|humble|ˈhʌmbl|простой, скромный
|blemish|ˈblemɪʃ|физический дефект, недостаток
|pursue|pəˈsju:|преследовать (цель)
|headquarters|hedˈkwɔ:təz|главное управление, центр
|undergo|ʌndəˈɡəʊ|испытывать, переносить
|retail|ˈri:teɪl|розница
|superficially|ˌsu:pəˈfɪʃlɪ|внешне, на поверхности
|assumption|əˈsʌmpʃn|предположение, допущение
|revenue|ˈrevənju:|доход; выручка
|foster|ˈfɒstə|воспитывать, обучать
|even|ˈi:vn|гладкий, ровный
|slump|slʌmp|внезапное падение
|exuberant|ɪɡˈzju:brnt|богатый, обильный
|equation|ɪˈkweɪʒn|выравнивание; стабилизация
|willingly|ˈwɪlɪŋlɪ|охотно, с готовностью
|rival|ˈraɪvl|соперник; конкурент
|merchandise|ˈmɜ:ʧndaɪs|товары
|cohesion|kəʊˈhi:ʒn|единство, спаянность, сплоченность
|digestion|daɪˈʤesʧn|пищеварение, переваривание
|excess|ɪkˈses|избыток, излишек
