# 11 - IELTS Words

|desert|ˈdezət|пустыня
|flock|flɒk|стекаться; приходить толпой
|trend|trend|курс, направление, тенденция
|interchange|ɪntəˈʧeɪnʤ|(взаимный) обмен
|ego|ˈi:ɡəʊ|самолюбие
|defend|dɪˈfend|защищать(ся), стоять на страже
|medieval|ˌmedɪˈi:vl|средневековый
|exploit|ɪkˈsplɔɪt|деяние, подвиг
|weave|wi:v|плести
|prosper|ˈprɒspə|преуспевать, процветать
|crucial|ˈkru:ʃl|ключевой, наиболее значительный
|ivory|ˈaɪvrɪ|слоновая кость
|lure|ljʊə|соблазн; привлекательность
|swamp|swɒmp|болото, топь
|ludicrous|ˈlu:dɪkrəs|смехотворный, нелепый, абсурдный
|vast|vɑ:st|обширный, громадный
|ridiculous|rɪˈdɪkjʊləs|нелепый, смехотворный, смешной
|abandon|əˈbændn|покидать, оставлять
|inhabitant|ɪnˈhæbɪtnt|житель, обитатель
|afterwards|ˈɑ:ftəwədz|впоследствии, позднее
|pose|pəʊz|ставить, предлагать (вопрос, задачу)
|fascinating|ˈfæsɪneɪtɪŋ|обворожительный
|shelter|ˈʃeltə|приют, кров; пристанище
|hinterland|ˈhɪntəlænd|пригород; удаленный от города
|foreland|ˈfɔ:lənd|прибрежная полоса
