# 12 - IELTS Words

|landward|ˈlændwəd|к берегу
|breakwater|ˈbreɪkwɔ:tə|волнолом, волнорез
|jostle|ˈʤɒsl|давка, толкотня
|microcosm|ˈmaɪkrəʊkɒzm|что-л. в миниатюре
|advent|ˈædvnt|пришествие
|vessel|ˈvesl|корабль, судно
|draught|drɑ:ft|тяга, энергия
|prominent|ˈprɒmɪnənt|выдающийся, знаменитый
|ore|ɔ:|руда
|retain|rɪˈteɪn|держать; удерживать
|prominence|ˈprɒmɪnəns|выдающееся положение; известность
|devastating|ˈdevəsteɪtɪŋ|опустошительный, разрушительный
|profoundly|prəˈfæʊndlɪ|глубоко; низко
|sediment|ˈsedɪmnt|осадок, отстой
|fertility|fəˈtɪlɪtɪ|плодородие; изобилие
|comprehend|kɒmprɪˈhend|понимать, постигать
|inundate|ˈɪnʌndeɪt|затоплять, наводнять
|monsoon|mɒnˈsu:n|дождливый сезон
|flourish|ˈflʌrɪʃ|дерево в цвету
|embankment|ɪmˈbæŋkmnt|насыпь, дамба, плотина
|maintenance|ˈmeɪntnəns|техническое обслуживание
|expenditure|ɪkˈspendɪʧə|расходование, трата денег
|plunge|plʌnʤ|ныряние, погружение
|unveil|ʌnˈveɪl|открывать, разоблачать
|envisage|enˈvɪzɪʤ|предвидеть, предугадыватЬ
