# 16 - IELTS Words

|curriculum|kʌˈrɪkjʊləm|курс обучения, учебный план
|heritage|ˈherɪtɪʤ|наследство; наследие
|exposure|ɪkˈspəʊʒə|контакт, сопрокосновение
|slender|ˈslendə|тонкий, узкий
|arch|ɑ:ʧ|арка; свод
|vehicular|vəˈhɪkjələ|перевозимый на транспорте
|sloping|ˈsləʊpɪŋ|косой, скошенный
|eschew|ɪsˈʧu:|остерегаться, сторониться
|knack|næk|умение, сноровка
|conceive|kənˈsi:v|постигать, понимать, зачать
|span|spæn|соединять берега
|crucial|ˈkru:ʃl|ключевой, наиболее значительный
|hollow|ˈhɒləʊ|полость, пустое пространство
|favourable|ˈfeɪvrəbl|подходящий; годный, удобный
|arouse|əˈræʊz|будить, пробуждать
|breakthrough|ˈbreɪkθru:|разрыв линии
|stiffen|ˈstɪfn|придавать жёсткость; крахмалить
|somewhat|ˈsʌmwɒt|что-то; кое-что
|transverse|trænzˈvɜ:s|пересекающийся, поперечный
|refine|rɪˈfaɪn|очищать, облагораживать
|ravine|rəˈvi:n|ущелье; лощина, овраг
|vaulting|ˈvɔ:ltɪŋ|свод
|designate|ˈdezɪɡneɪt|назначать
|terrain|teˈreɪn|физические особенности местности
|spectacular|spekˈtækjʊlə|впечатляющий; эффектный
