# 19 - IELTS Words

|astound|əˈstæʊnd|изумлять, поражать
|launderette|lɔ:ndəˈret|прачечная самообслуживания
|jolly|ˈʤɒlɪ|веселый, радостный
|derelict|ˈderəlɪkt|покинутый, брошенный
|stray|streɪ|заблудившийся, заблудший
|sombre|ˈsɒmbə|мрачный, темный
|repulsive|rɪˈpʌlsɪv|отталкивающий
|punctuate|ˈpʌŋkʧʊeɪt|акцентировать, подчеркивать
|dwarf|dwɔ:f|уменьшить
|dilapidated|dɪˈlæpɪdeɪtɪd|полуразрушенный
|revamp|ri:ˈvæmp|чинить, ремонтировать
|shed|ʃed|ронять, терять; сбрасывать
|landmark|ˈlændmɑ:k|достопримечательность
|overtake|əʊvəˈteɪk|нагнать; обогнать
|relieve|rɪˈli:v|помогать, выручать;
|bound|bæʊnd|уверенный; полный решимости
|scatter|ˈskætə|разбрасывать, раскидывать
|gust|ɡʌst|порыв ветра
|intentionally|ɪnˈtenʃnəlɪ|умышленно, намеренно
|crawl|krɔ:l|ползать, медленно продвигаться
|slam|slæm|хлопанье
|tremendous|trɪˈmendəs|жуткий, страшный, ужасный
|slip|slɪp|скольжение; сползание
|necklace|ˈneklɪs|ожерелье
|pigeon|ˈpɪʤɪn|голубь
