# 22 - IELTS Words

|emerge|ɪˈmɜ:ʤ|возникать
|posthumous|ˈpɒstjʊməs|посмертный
|facial|ˈfeɪʃl|лицевой
|piercing|ˈpɪəsɪŋ|пронизывающий
|slender|ˈslendə|стройный, тонкий
|stunning|ˈstʌnɪŋ|ошеломляющий
|expression|ɪkˈspreʃn|выражение (лица, глаз)
|twinkling|ˈtwɪŋklɪŋ|мерцание, мигание
|curl|kɜ:l|локон; завиток
|frizzle|ˈfrɪzl|завиток (волос)
|frizz|frɪz|вьющиеся волосы
|caring|ˈkeərɪŋ|внимательный, заботливый
|youthful|ˈju:θfʊl|молодой, юный
|hooked|ˈhʊkt|кривой
|swarthy|ˈswɔ:ðɪ|смуглый; темный
|bloodshot|ˈblʌdʃɒt|налитый кровью (о глазах)
|sunken|ˈsʌŋkn|впалый, запавший (о глазах, щеках)
|protruding|prəˈtru:dɪŋ|высунутый наружу
|portly|ˈpɔ:tlɪ|полный, тучный
|tanned|tænd|загорелый
|flabby|ˈflæbɪ|дряблый
|withered|ˈwɪðəd|иссохший; сморщенный
|watery|ˈwɔ:trɪ|бледный, бесцветный
|condescending|kɒndɪˈsendɪŋ|снисходительный
|freckle|ˈfrekl|веснушка
