# 25 - IELTS Words

|tolerant|ˈtɒlrnt|относящийся терпимо
|inquisitive|ɪnˈkwɪzɪtɪv|любознательный, пытливый
|curious|ˈkjʊərɪəs|любопытный; любознательный
|inquiring|ɪnˈkwaɪrɪŋ|вопрошающий
|vain|veɪn|тщеславный; самодовольный
|flatter|ˈflætə|льстить
|giggle|ˈɡɪɡl|хихикать
|outgoing|ˈæʊtɡəʊɪŋ|отзывчивый, чуткий
|assertive|əˈsɜ:tɪv|напористый; самоуверенный
|ambitious|æmˈbɪʃəs|стремящийся к (чему-л.)
|pompous|ˈpɒmpəs|высокопарный, надутый
|conceited|kənˈsi:tɪd|самоуверенный; тщеславный
|vain|veɪn|самовлюблённый
|vainglorious|ˌveɪnˈɡlɔ:riəs|хвастливый
|complacent|kəmˈpleɪsnt|самодовольный
|caring|ˈkeərɪŋ|внимательный, заботливый
|acquaintance|əˈkweɪntns|знакомство
|tireless|ˈtaɪəlɪs|неутомимый; неустанный
|charity|ˈʧærɪtɪ|милосердие
|childish|ˈʧaɪldɪʃ|незрелый, неразвитой
|blunt|blʌnt|непонятливый, туповатый
|deceitful|dɪˈsi:tfʊl|неискренний, лживый
|idle|ˈaɪdl|незанятый
|immature|ˌɪməˈtjʊə|незрелый, неспелый
|insolent|ˈɪnslnt|дерзкий, наглый
