# 27 - IELTS Words

|bouquet|bʊˈkeɪ|букет, аромат, любезность
|suspense|səˈspens|беспокойство; тревога ожидания
|irritation|ɪrɪˈteɪʃn|гнев, раздражение
|apprehension|æprɪˈhenʃn|опасение; мрачное предчувствие
|busk|bʌsk|выступать перед прохожими
|balmy|ˈbɑ:mɪ|нежный, ароматный
|grin|ɡrɪn|усмешка
|odd|ɒd|необычный, странный, эксцентричный
|peer|pɪə|вглядываться; изучать
|frantically|ˈfræntɪklɪ|неистово, яростно
|aback|əˈbæk|назад; задом; сзади
|guise|ɡaɪz|наряд, одеяние; одежда
|socket|ˈsɒkɪt|патрон (электрической лампы) ; розетка
|aid|eɪd|помощь, поддержка
|murmur|ˈmɜ:mə|шепот
|husky|ˈhʌskɪ|охрипший (от волнения и т. п.) , сиплый
|shrug|ʃrʌɡ|пожимать (плечами)
|palsy|ˈpɔ:lzɪ|паралич
|backward|ˈbækwəd|отстающий в развитии
|genuine|ˈʤenjʊɪn|истинный, подлинный
|verge|vɜ:ʤ|край, грань
|stiffness|stɪfnəs|жеманство; церемонность
|soak|səʊk|промачивать насквозь
|scolding|ˈskəʊldɪŋ|нагоняй; брань
|fluster|ˈflʌstə|возбуждение, волнение; суета
