# 29 - IELTS Words

|cagey|ˈkeɪʤɪ|осторожный
|obsequious|əbˈsi:kwɪəs|угождающий
|complimentary|kɒmplɪˈmentrɪ|любезный
|cheetah|ˈʧi:tə|гепард
|robin|ˈrɒbɪn|дрозд
|means|mi:nz|средства
|swollen|ˈswəʊlən|вздутый, раздутый
|sprain|spreɪn|растяжение связок, сустава
|pole|pəʊl|столб, шест
|tenant|ˈtenənt|наниматель, арендатор
|orphan|ˈɔ:fn|сирота
|precarious|prɪˈkeərɪəs|ненадёжный, сомнительный
|cliff|klɪf|пропасть, откос; холм; утес
|wind|wɪnd|виться, извиваться, идти по следу
|sprawl|sprɔ:l|расползаться во все стороны
|quaint|kweɪnt|привлекательный, старомодный
|skyline|ˈskaɪlaɪn|горизонт
|dominate|ˈdɒmɪneɪt|возвышаться
|herd|hɜ:d|стадо, стая
|cattle|ˈkætl|крупный рогатый скот
|oblige|əˈblaɪʤ|делать одолжение, угождать
|amaze|əˈmeɪz|поражать, удивлять
|astonish|əˈstɒnɪʃ|сильно поражать, удивлять
|amuse|əˈmju:z|позабавить, развеселить
|oppressive|əˈpresɪv|тяжелый, угнетающий
