# 31 - IELTS Words

|convene|kənˈvi:n|созывать
|draft|drɑ:ft|разрабатывать
|consensus|kənˈsensəs|согласие
|ramification|ˌræmɪfɪˈkeɪʃn|последствие, результат
|tangible|ˈtænʤɪbl|осязаемый
|emerge|ɪˈmɜ:ʤ|появляться
|segregate|ˈseɡrɪɡeɪt|отделять
|assess|əˈses|оценивать
|maturity|məˈʧʊərətɪ|завершенность
|onward|ˈɒnwəd|вперед, поступательно
|alleviate|əˈli:vɪeɪt|облегачать
|blur|blɜ:|смазывать
|agile|ˈæʤaɪl|быстрый
|underestimate|ʌndərˈestɪmeɪt|недооценивать
|handful|ˈhæn(d)fʊl|масса
|grip|ɡrɪp|чемодан
|metropolitan|metrəˈpɒlɪtn|городской, столичный
|worthwhile|wɜ:θˈwaɪl|стоящий
|obsess|əbˈses|быть одержимым
|commodity|kəˈmɒdɪtɪ|товар
|imply|ɪmˈplaɪ|подразумевать
|rigorous|ˈrɪɡrəs|строгий; неумолимый
|messy|ˈmesɪ|неряха
|culprit|ˈkʌlprɪt|виновник
|current|ˈkʌrnt|эл. ток
