# 02 - b

|be was/were been|bi: wɒz/wз: bi:n|быть
|bear bore born|bɛə bɔ: bɔ:n|носить
|beat beat beaten|bi:t bi:t 'bi:tn|бить
|become became become|bi:kʌm bi:keim bi:kʌm|становиться
|begin began begun|bi'gin bi'gæn bi'gʌn|начинать
|bend bent bent|bend bent bent|сгибать/гнуть
|beseech besought besought|bɪˈsi:tʃ bɪ'sɔ:t bɪ'sɔ:t|заклинать
|bet bet bet|bet bet bet|держать пари
|bid bid/bade bid|bɪd bɪd/beɪd bɪd|предлагать
|bind bound bound|baind baund baund|вязать/связывать
|bite bit bitten|bait bit 'bitn|кусать/жалить
|bleed bled bled|bli:d bled bled|кровоточить
|bless blessed blessed|bles 'blesɪd 'blesɪd|благословлять
|blow blew blown|bləu blu: bləun|дуть
|break broke broken|breik brəuk 'brəuk(e)n|ломать
|breed bred bred|bri:d bred bred|воспитывать/вынашивать
|bring brought brought|briŋ brɔ:t brɔ:t|приносить
|build built built|bild bilt bilt|строить
|burn burnt burnt|bз:n bз:nt bз:nt|гореть
|burst burst burst|bз:st bз:st bз:st|разразиться
|bust bust bust|bʌst bʌst bʌst|сломать/разрушать
|buy bought bought|bai bɔ:t bɔ:t|покупать
