# 03 - c

|can could |kæn/kən  kud |мочь/быть в состоянии
|cast cast cast|kɑ:st kɑ:st kɑ:st|кинуть/лить металл
|catch caught caught|kætʃ kɔ:t kɔ:t|ловить/хватать/успеть
|chide chided chided|ʧaɪd ʧaɪdɪd ʧaɪdɪd|бранить
|choose chose chosen|tʃu:z ʃəuz tʃəuz(ə)n|выбирать
|cleave clove/cleft cloven/cleft|kli:v kləʊv/kleft kləʊv/kleft|рассечь
|cling clung clung|klɪŋ klʌŋ klʌŋ|цепляться
|come came come|kʌm keim kʌm|приходить
|cost cost cost|cɒst cɒst cɒst|стоить
|creep crept crept|kri:p krept krept|ползать
|cut cut cut|kʌt kʌt kʌt|резать
