# 06 - f

|fall fell fallen|fɔ:l fel 'fɔ:lən|падать
|feed fed fed|fi:d fed fed|кормить
|feel felt felt|fi:l felt felt|чувствовать
|fight fought fought|fait fɔ:t fɔ:t|бороться
|find found found|faind faund faund|находить
|fit fit fit|fit fit fit|подходить по размеру
|flee fled fled|fli: fled fled|убегать
|fling flung flung|flɪŋ flʌŋ flʌŋ|бросать/кидать
|fly flew flown|flai flu: fləun|летать
|forget forgot forgotten|fə'get fə'gɒt fə'gɒt(ə)n|забывать
|forgive forgave forgiven|fo'giv fo'geiv fo'givn|прощать
|forsake forsook forsaken|fə'seɪk fə'su:k fə'seɪk(ə)n|покидать
|freeze froze frozen|fri:z frəuz 'frəuzn|замерзать
