# 15 - s<sub><small>1</small>

|saw sawed sawed/sawn|sɔ: sɔ:d sɔ:d/sɔ:n|пилить
|say said  said |sei sed sed|говорить
|see saw  seen |si: sɔ: si:n|видеть
|seek sought  sought |si:k sɔ:t sɔ:t|искать
|sell sold  sold |sel səuld səuld|продавать
|send sent  sent |send sent sent|посылать
|set set  set |set set set|ставить
|sew sewed  sewn |səu səud səun|шить
|shake shook  shaken |ʃeik ʃuk 'ʃeik(ə)n|встряхивать
|shear sheared shorn/sheared|ʃɪə ʃɪəd ʃɪəd|стричь
|shed shed shed|ʃed ʃed ʃed|проливать
|shine shone/shined shone/shined|ʃaɪn ʃɒn/ʃaɪnd ʃɒn/ʃaɪnd|сиять
|shoe shod shod|ʃu: ʃɒd ʃɒd|обувать/подковывать
|shoot shot shot|ʃu:t ʃɒt ʃɒt|стрелять/давать побеги
|show showed  shown |ʃəu ʃəud ʃəun|показывать
|shred shredded shredded|ʃred ʃredɪd ʃredɪd|кромсать/расползаться
|shrink shrank  shrunk |ʃriŋk ʃræŋk ʃrʌŋk|уменьшать
|shrive shrove shriven|ʃraɪv ʃrəuv 'ʃrɪv(ə)n|исповедовать
|shut shut  shut |ʃʌt ʃʌt ʃʌt|закрывать
|sing sang  sung |siŋ sæŋ sʌŋ|петь
