# 16 - s<sub><small>2</small>

|sink sank  sunk |siŋk sæŋk sʌŋk|тонуть
|sit sat  sat |sit sæt sæt|сидеть
|slay slew slain|sleɪ slu: sleɪn|убивать
|sleep slept  slept |sli:p slept slept|спать
|slide slid  slid |slaid slid slid|скользить
|sling slung slung|slɪŋ slʌŋ slʌŋ|швырять
|slink slunk slunk|slɪŋk slʌŋk slʌŋk|красться
|slit slit slit|slɪt slɪt slɪt|надрезать
|smell smelt/smelled smelt/smelled|smel smel/smeld smel/smeld|пахнуть/нюхать
|smite smote smitten|smaɪt sməut 'smɪt(ə)n|ударять
|sow sowed  sown |səu səud səun|сеять
|speak spoke  spoken |spi:k spəuk 'spəuk(e)n|говорить
|speed sped/speeded sped/speeded|spi:d sped/spi:d sped/spi:d|спешить
|spell spelt  spelt |spel spelt spelt|произносить по буквам
|spend spent  spent |spend spent spent|тратить
|spill spilt  spilt |spil spilt spilt|проливать
|spin spun spun|spɪn spʌn spʌn|прясть
|spit spat/spit spat/spit|spɪt spæt/spɪt spæt/spɪt|плевать
|split split split|splɪt splɪt splɪt|расщепить
|spoil spoilt  spoilt |spɒil spɒilt spɒilt|портить
