# Sounds - Animal

|growl   |growling   |рычание (dog)
|purr    |purring    |мурлыканье (cat)
|hiss    |hissing    |шипение (cat, snake)
|buzz    |buzzing    |жужжание (fly)

|croak   |croaking   |кваканье, карканье (frog, bird)
|caw     |cawing     |карканье (bird)
|chirp   |chirping   |чириканье, щебет / стрёкот (bird / cricket / grasshopper)
|hoot    |hooting    |уханье (owl)
|cluck   |clucking   |кудахтанье, клохтанье (chicken)
|quack   |quacking   |кряканье (duck)
|honk    |honking    |гогот (goose)

|grunt   |grunting   |хрюканье (pig)
|oink    |oinking    |хрюканье (pig)
|bleat   |bleating   |блеяние (sheep, goat)
|bray    |braying    |рёв осла (donkey)
|bellow  |bellowing  |мычание, рёв (cow, bull)
|neigh   |neighing   |ржание (horse)
|nicker  |nickering  |ржание (horse)
|snort   |snorting   |храп, фырканье (horse)
|hoofbeat|hoofbeating|топот копыт
