# Désignation

|a commercial||@&ensp;товарный знак
|ampère||A&ensp;ампер
|année||a&ensp;год
|anonyme||X…&ensp;аноним
|arobas, arobase||@&ensp;at sign
|cent (monnaie)||¢&ensp;цент (монета)
|centilitre||cl&ensp;сантилитр
|centimètre||cm&ensp;сантиметр
|centimètre carré||cm²&ensp;квадратный сантиметр
|centimètre cube||cm³&ensp;кубический сантиметр
|croix||†&ensp;крест
|décamètre||dam&ensp;декаметр
|décibel||dB&ensp;децибел
|décilitre||dl&ensp;декалитр
|décimètre||dm&ensp;дециметр
|décimètre carré||dm²&ensp;квадратный дециметр
|décimètre cube||dm³&ensp;кубический дециметр
|degré||º&ensp;градус
|degré Celsius||ºC&ensp;градус Цельсия
|degré Fahrenheit||ºF&ensp;градус Фаренгейта
|dollar||$&ensp;доллар
|dollar américain||$ US&ensp;американский доллар
|dollar canadien||$ CA&ensp;канадский доллар
|et||&&ensp;и
|gallon||gal&ensp;галлон
|gigahertz||GHz&ensp;гигагерц
|glaive||†&ensp;меч
|gramme||g&ensp;грамм
|hectare||ha&ensp;гектар
|hectolitre||hl&ensp;гектолитр
|hertz||Hz&ensp;герц
|heure||h&ensp;час
|inconnu||X…&ensp;неизвестное
|joule||J&ensp;джоуль
|kelvin||K&ensp;кельвин
|kiloampère||kA&ensp;килоампер
|kilogramme||kg&ensp;килограмм
|kilohertz||kHz&ensp;килогерц
|kilomètre||km&ensp;километр
|kilomètre par heure||km/h&ensp;километров в час
|kilo-octet||ko&ensp;килобайт
|kilopascal||kPa&ensp;килопаскаль
|kilovolt||kV&ensp;киловольт
|kilowatt||kW&ensp;киловатт
|litre||l или L &ensp;литр
|livre (poids)||lb&ensp;фунт (вес) = 489,5 г
|mégahertz||MHz&ensp;мегагерц
|mégajoule||MJ&ensp;мегаджоуль
|mégaoctet||Mo&ensp;мегабайт
|mégatonne||Mt&ensp;мегатонна
|mégavolt||MV&ensp;мегавольт
|mégawatt||MW&ensp;мегаватт
|mètre||m&ensp;метр
|mètre carré||m²&ensp;квадратный метр
|mètre cube||m³&ensp;кубический метр
|mètre par seconde||m/s&ensp;метров в секунду
|mille (longueur)||mi&ensp;миля (длина)
|milliampère||mA&ensp;миллиампер
|milligramme||mg&ensp;миллиграмм
|millilitre||ml&ensp;миллилитр
|millimètre||mm&ensp;миллиметр
|millivolt||mV&ensp;милливольт
|minute||min&ensp;минута
|minute d’angle||‘&ensp;угловая минута
|moins, signe de soustraction||-&ensp;минус, знак вычитания
|mois||m.&ensp;месяц
|nanoseconde||ns&ensp;наносекунда
|newton||N&ensp;ньютон
|octet||o&ensp;байт
|once||oz&ensp;унция
|ordre de||o/&ensp;порядок
|paragraphe||§&ensp;параграф
|pied||pi&ensp;фут = 30,48 см
|pied carré||pi²&ensp;квадратный фут
|pied de mouche||¶&ensp;параграф
|plus, signe d’addition||+&ensp;плюс, знак сложения
|pouce||po&ensp;дюйм = 27,07 мм
|pour cent||%&ensp;процент
|pour mille||p. 1000 ou ‰&ensp;промиль
|quintal||q&ensp;центнер
|seconde||s&ensp;секунда
|seconde d’angle||“&ensp;угловая секунда
|signe de division||÷&ensp;знак деления
|signe de multiplication||x&ensp;знак умножения
|symbole chimique de l’eau||H2O&ensp;химическая формула воды
|térawatt||TW&ensp;тераватт
|tonne||t&ensp;тонна
|Tous droits réservés||©&ensp;Все права защищены
|volt||V&ensp;вольт
|watt||W&ensp;ватт
