# 016 - Mots fréquents

|social|sɔsjal, -jo|социальный
|assurer|asyʁe|заверять
|essayer|eseje|пробовать
|juste|ʒyst|справедливый
|étranger|etʁɑ̃ʒe, -ɛʁ|иностранный
|empêcher|ɑ̃peʃe|мешать
|le million|miljɔ̃|миллион
|la manière|manjɛʁ|манера
|sortir|sɔʁtiʁ|выходить
|le prix|pʁi|цена
|le terme|tɛʁm|срок
|longtemps|lɔ̃tɑ|долго
|reprendre|ʁ(ə)pʁɑ̃dʁ|снова брать
|courant|kuʁɑ̃, -t|текуший
|le intérêt|ɛ̃teʁɛ|интерес
|mener|m(ə)ne|вести
|la information|ɛ̃fɔʁmasjɔ̃|информация
|le détail|detaj|деталь
|appartenir|apaʁtəniʁ|принадлежать
|la liberté|libɛʁte|свобода
