# 017 - Mots fréquents

|assez|ase|довольно
|risquer|ʁiske|рисковать
|chacun|ʃakœ̃, -yn|каждый
|concerner|kɔ̃sɛʁne|касаться
|la maison|mɛzɔ̃|дом
|d'abord|dabɔʁ|сначала
|apprendre|apʁɑ̃dʁ|учиться
|le niveau|nivo|уровень
|rencontrer|ʁɑ̃kɔ̃tʁe|встречать
|ton|tɔ̃|твой
|la œuvre|œvʁ|дело
|créer|kʁee|творить
|le état|eta|государство
|obtenir|ɔptəniʁ|добиваться
|clair|klɛʁ|светлый
|chercher|ʃɛʁʃe|искать
|entrer|ɑ̃tʁe|входить
|proposer|pʁɔpoze|предлагать
|apporter|apɔʁte|приносить
|le programme|pʁɔgʁam|программа
