# 018 - Mots fréquents

|loin|lwɛ̃|далеко
|la ligne|liɲ|линия
|la tête|tɛt|голова
|libre|libʁ|свободный
|utiliser|ytilize|использовать
|atteindre|atɛ̃dʁ|достигать
|tenter|tɑ̃te|пробовать
|tard|taʁ|поздно
|enfin|ɑ̃fɛ̃|наконец
|différent|difeʁɑ̃, -t|разный
|la sorte|sɔʁt|сорт
|cependant|s(ə)pɑ̃dɑ̃|между тем
|le sujet|syʒɛ, -t|подданный, сюжет
|importer|ɛ̃pɔʁte|импортировать
|la action|aksjɔ̃|действие
|la relation|ʁ(ə)lasjɔ̃|отношение
|la recherche|ʁ(ə)ʃɛʁʃ|исследование
|le livre|livʁ|книга
|ajouter|aʒute|добавлять
|ailleurs|ajœʁ|в другом месте
