# 024 - Mots fréquents

|la commission|kɔmisjɔ̃|поручение
|cesser|sese|прекращать
|poursuivre|puʁsɥivʁ|преследовать
|maintenir|mɛ̃t(ə)niʁ|поддерживать
|la époque|epɔk|эпоха
|exprimer|ɛkspʁime|выражать
|le ami|ami|друг
|bas|bɑ, -s|низкий
|imposer|ɛ̃poze|облагать
|la moitié|mwatje|половина
|le avenir|av(ə)niʁ|будущее
|le argent|aʁʒɑ̃|деньги, серебро
|la mise|miz|взнос
|le œil|œj|глаз
|la eau|o|вода
|sauf|sof, -v|целый, невредимый
|la école|ekɔl|школа
|la sécurité|sekyʁite|безопасность
|le milieu|miljø|середина
|la lettre|lɛtʁ|буква
