# 025 - Mots fréquents

|presque|pʁɛsk|почти
|la attention|atɑ̃sjɔ̃|внимание
|le cadre|kɑdʁ|рама
|futur|fytyʁ|будущий
|le mouvement|muvmɑ̃|движение
|former|fɔʁme|создавать
|conduire|kɔ̃dɥiʁ|вести
|la règle|ʁɛgl|правило
|la poste|pɔst|почта
|la demande|d(ə)mɑ̃d|просьба
|le centre|sɑ̃tʁ|центр
|le acte|akt|действие
|disparaître|dispaʁɛtʁ|исчезать
|priver|pʁive|лишать
|constituer|kɔ̃stitɥe|учреждать
|le accord|akɔʁ|договор
|le milliard|miljaʁ|миллиард
|lier|lje|связывать
|obliger|ɔbliʒe|обязывать
|craindre|kʁɛ̃dʁ|бояться
