# 030 - Mots fréquents

|partout|paʁtu|повсюду
|la direction|diʁɛksjɔ̃|направление
|manquer|mɑ̃ke|отсутствовать
|actuel|aktɥɛl|действительный
|opposer|ɔpoze|противодействовать
|signifier|siɲifje|означать
|la journée|ʒuʁne|день
|traiter|tʁete|обходиться
|indiquer|ɛ̃dike|указывать
|tuer|tɥe|убивать
|technique|tɛknik|технический
|rapidement|ʁapidmɑ̃|быстро
|autour|otuʁ|вокруг
|réduire|ʁedɥiʁ|уменьшать
|préférer|pʁefeʁe|предпочитать
|la rue|ʁy|улица
|riche|ʁiʃ|богатый
|bref|bʁɛf, bʁɛv|короткий
|nommer|nɔme|называть
|la violence|vjɔlɑ̃s|насилие
