# 035 - Mots fréquents

|assister|asiste|помогать
|le sénateur|senatœʁ, -ʁis|сенатор
|dépasser|depɑse|обгонять
|affirmer|afiʁme|утверждать
|soumettre|sumɛtʁ|покорять, подчинять
|financier|finɑ̃sje, -jɛʁ|финансовый
|le processus|pʁɔsesys|процесс
|militaire|militɛʁ|военный
|frais|fʁɛ, fʁɛʃ|прохладный, свежий
|la industrie|ɛ̃dystʁi|индустрия
|apparaître|apaʁɛtʁ|появляться
|la responsabilité|ʁɛspɔ̃sabilite|ответственность
|réserver|ʁezɛʁve|резервировать
|la porte|pɔʁt|дверь
|la victime|viktim|жертва
|le territoire|teʁitwaʁ|территория, область
|pauvre|povʁ|бедный
|le taux|to|такса
|organiser|ɔʁganize|организовывать
|posséder|pɔsede|обладать
