# 039 - Mots fréquents

|la opération|ɔpeʁasjɔ̃|операция
|heureux|øʁø, -øz|счастливый
|la crise|kʁiz|кризис
|le numéro|nymeʁo|номер
|résoudre|ʁezudʁ|решать
|publier|pyblije|опубликовывать
|instant|ɛ̃stɑ̃, -t|настоятельный
|toutefois|tutfwa|тем не менее
|pousser|puse|толкать
|quelqu'un|kɛlkœɔ̃, kɛlkyn|кто-то
|le discours|diskuʁ|речь
|la banque|bɑ̃k|банк
|la compagnie|kɔ̃paɲi|компания
|reposer|ʁ(ə)poze|снова класть
|la opinion|ɔpinjɔ̃|мнение
|la classe|klɑs|класс
|particulièrement|paʁtikyljɛʁmɑ̃|особенно
|commun|kɔmœ̃, -yn|общий
|satisfaire|satisfɛʁ|удовлетворять
|la intention|ɛ̃tɑ̃sjɔ̃|намерение
