# 040 - Mots fréquents

|la autorité|ɔtɔʁite|власть
|anglais|ɑ̃glɛ, -z|английский
|le échange|eʃɑ̃ʒ|обмен
|le feu|fø|огонь
|neuf|nœf|девять
|observer|ɔpsɛʁve|соблюдать
|la capacité|kapasite|вместимость
|désigner|deziɲe|обозначать
|dépendre|depɑ̃dʁ|зависеть
|le message|mesaʒ|послание
|construire|kɔ̃stʁɥiʁ|строить
|la scène|sɛn|сцена
|durant|dyʁɑ̃|в течение
|secret|səkʁɛ, -ɛt|тайный
|le plaisir|pleziʁ|удовольствие
|le dossier|dosje|спинка
|la proposition|pʁɔpozisjɔ̃|предложение
|combien|kɔ̃bjɛ̃|сколько
|nul|nyl|никакой
|la absence|apsɑ̃s|отсутствие
