# 041 - Mots fréquents

|cher|ʃɛʁ|дорогой
|plaire|plɛʁ|нравиться
|derrière|dɛʁjɛʁ|сзади
|la connaissance|kɔnɛsɑ̃s|познание
|immédiatement|imedjatmɑ̃|непосредственно
|la entrée|ɑ̃tʁe|вход
|signer|siɲe|подписывать
|révéler|ʁevele|раскрывать
|couper|kupe|резать
|la salle|sal|зал
|la pièce|pjɛs|кусок
|la équipe|ekip|отряд
|situer|sitɥe|располагать
|souligner|suliɲe|подчёркивать
|la source|suʁs|источник
|le respect|ʁɛspɛ|почтение
|le crime|kʁim|преступление
|précédent|pʁesedɑ̃, -t|предыдущий, предшествующий
|installer|ɛ̃stale|устанавливать
|facile|fasil|лёгкий
