# 048 - Mots fréquents

|le mai|mɛ|май
|le septembre|sɛptɑ̃bʁ|сентябрь
|le environnement|ɑ̃viʁɔnmɑ̃|окружение
|séparer|sepaʁe|отделять
|la réaction|ʁeaksjɔ̃|реакция
|la disposition|dispozisjɔ̃|расположение
|positif|pozitif, -v|положительный
|scientifique|sjɑ̃tifik|научный
|le papier|papje|бумага
|la expression|ɛkspʁesjɔ̃|выражение
|la protection|pʁɔtɛksjɔ̃|протекция
|indépendant|ɛ̃depɑ̃dɑ̃, -t|независимый
|la carte|kaʁt|карта
|la association|asɔsjasjɔ̃|ассоциация
|régler|ʁegle|упорядочивать
|le modèle|mɔdɛl|модель
|commander|kɔmɑ̃de|приказывать
|étudier|etydje|учиться
|déterminer|detɛʁmine|определять
|le budget|bydʒɛ|бюджет
