# 049 - Mots fréquents

|fonder|fɔ̃de|учреждать
|la structure|stʁyktyʁ|структура
|complet|kɔ̃plɛ, -ɛt|полный
|exercer|ɛgzɛʁse|тренировать
|le amour|amuʁ|любовь
|manifester|manifɛste|проявлять
|menacer|mənase|грозить
|conseiller|kɔ̃seje|советовать
|la réunion|ʁeynjɔ̃|собрание
|la opposition|ɔpozisjɔ̃|противоположность
|la maladie|maladi|болезнь
|outre|utʁ|сверх
|tandis que|tɑ̃di(s)k(ə)|в то время как
|la construction|kɔ̃stʁyksjɔ̃|строительство
|la bande|bɑ̃d|полоса
|le signal|siɲal, -o|сигнал
|voisin|vwazɛ̃, -in|соседний
|la réforme|ʁefɔʁm|реформа
|rejeter|ʁ(ə)ʒəte|снова бросать
|le novembre|nɔvɑ̃bʁ|ноябрь
