# 052 - Mots fréquents

|autrement|otʁəmɑ̃|иначе
|ferme|fɛʁm|твёрдый
|désormais|dezɔʁmɛ|отныне
|lourd|luʁ, -d|тяжёлый
|susciter|sysite|порождать
|la république|ʁepyblik|республика
|dur|dyʁ|твёрдый
|la application|aplikasjɔ̃|приложение
|lutter|lyte|бороться
|le profit|pʁɔfi|прибыль
|contenir|kɔ̃t(ə)niʁ|содержать
|déposer|depoze|класть
|modifier|mɔdifje|модифицировать
|la communication|kɔmynikasjɔ̃|сообщение
|le jugement|ʒyʒmɑ̃|суждение
|le manque|mɑ̃k|недостаток
|le échec|eʃɛk|неудача
|traverser|tʁavɛʁse|пересекать
|transformer|tʁɑ̃sfɔʁme|трансформировать
|le engagement|ɑ̃gaʒmɑ̃|закладывание
