# 056 - Mots fréquents

|voici|vwasi|здесь
|acquérir|akeʁiʁ|приобретать
|moindre|mwɛ̃dʁ|меньший
|convenir|kɔ̃vniʁ|соглашаться
|logique|lɔʒik|логический
|examiner|ɛgzamine|осматривать
|le soin|swɛ̃|забота
|mesurer|məzyʁe|мерить
|le traitement|tʁɛtmɑ̃|обхождение
|le jeudi|ʒødi|четверг
|impliquer|ɛ̃plike|вовлекать
|la science|sjɑ̃s|наука
|le individu|ɛ̃dividy|особь
|la donnée|dɔne|данные
|demi|d(ə)mi|полу-
|combattre|kɔ̃batʁ|биться
|violent|vjɔlɑ̃, -t|неистовый
|comporter|kɔ̃pɔʁte|предполагать
|suivant|sɥivɑ̃, -t|следующий
|mériter|meʁite|заслуживать
