# 057 - Mots fréquents

|emprunter|ɑ̃pʁœ̃te|заимствовать
|la conscience|kɔ̃sjɑ̃s|совесть
|traduire|tʁadɥiʁ|переводить (язык)
|le sang|sɑ̃|кровь
|le millier|milje|тысяча
|emporter|ɑ̃pɔʁte|уносить
|la initiative|inisjativ|инициатива
|nucléaire|nykleɛʁ|ядерный
|industriel|ɛ̃dystʁijɛl|индустриальный
|vif|vif, -v|живой
|exact|ɛgza(kt), ɛgzakt|точный
|la exception|ɛksɛpsjɔ̃|исключение
|doubler|duble|удваивать
|le février|fevʁije|февраль
|la mode|mɔd|мoda
|tendre|tɑ̃dʁ|нежный
|la musique|myzik|музыка
|la gestion|ʒɛstjɔ̃|управление
|le honneur|ɔnœʁ|честь
|vaste|vast|обширный
