# 058 - Mots fréquents

|évoquer|evɔke|вызывать
|fonctionner|fɔ̃ksjɔne|функционировать
|la étape|etap|этап
|la physique|fizik|физика
|accuser|akyze|обвинять
|parfaitement|paʁfɛtmɑ̃|совершенно
|la méthode|metɔd|метод
|le professeur|pʁɔfesœʁ|преподаватель
|envers|ɑ̃vɛʁ|по отношению к
|distribuer|distʁibɥe|распределять
|la existence|ɛgzistɑ̃s|существование
|prétendre|pʁetɑ̃dʁ|претендовать
|global|glɔbal, -o|глобальный
|le dommage|dɔmaʒ|повреждение
|le crédit|kʁedi|кредит
|la tendance|tɑ̃dɑ̃s|тенденция
|la chaîne|ʃɛn|цепь
|relatif|ʁ(ə)latif, -v|относительный
|la note|nɔt|заметка
|la réserve|ʁezɛʁv|сдержанность
