# 061 - Mots fréquents

|religieux|ʁ(ə)liʒjø, -jøz|религиозный
|la analyse|analiz|анализ
|disponible|dispɔnibl|наличный
|le regard|ʁ(ə)gaʁ|взгляд
|prévenir|pʁev(ə)niʁ|предотвращать
|bientôt|bjɛ̃to|скоро
|analyser|analize|анализировать
|le mariage|maʁjaʒ|брак
|la couleur|kulœʁ|цвет
|témoigner|temwaɲe|свидетельствовать
|sauver|sove|спасать
|parlementaire|paʁləmɑ̃tɛʁ|парламентский
|la conclusion|kɔ̃klyzjɔ̃|заключение
|bleu|blø|голубой
|dehors|dəɔʁ|вне
|remercier|ʁ(ə)mɛʁsje|отблагодарить
|actif|aktif, -v|активный
|réclamer|ʁeklɑme|требовать
|la habitude|abityd|привычка
|récemment|ʁesamɑ̃|недавно
