# 062 - Mots fréquents

|le fil|fil|волокно
|collectif|kɔlɛktif, -v|коллективный
|excellent|ɛkselɑ̃, -t|превосходный
|moral|mɔʁal, -o|моральный
|le accident|aksidɑ̃|проишествие
|le code|kɔd|кодекс
|puissant|pɥisɑ̃, -t|могущественный
|recueillir|ʁ(ə)kœjiʁ|собирать
|fabriquer|fabʁike|производить
|le représentant|ʁ(ə)pʁezɑ̃tɑ̃, -t|представитель
|rare|ʁɑʁ|редкий
|extraordinaire|ɛkstʁaɔʁdinɛʁ|чрезвычайный
|le dimanche|dimɑ̃ʃ|воскресенье
|vérifier|veʁifje|проверять
|la envie|ɑ̃vi|зависть
|enregistrer|ɑ̃ʁ(ə)ʒistʁe|регистрировать
|moderne|mɔdɛʁn|современный
|le parc|paʁk|парк
|le impôt|ɛ̃po|налог, подать
|le sud|syd|юг
