# 064 - Mots fréquents

|la augmentation|ɔgmɑ̃tasjɔ̃|увеличение
|le facteur|faktœʁ, -ʁis|фактор
|le policier|pɔlisje, -jɛʁ|полицейский
|la échelle|eʃɛl|лестница
|supplémentaire|syplemɑ̃tɛʁ|дополнительный
|pratiquer|pʁatike|практиковать
|la pensée|pɑ̃se|мысль
|extrême|ɛkstʁɛm|предельный
|néanmoins|neɑ̃mwɛ̃|тем не менее
|le bénéficier|benefisje|бенефициарист
|vingt|vɛ̃|двадцать
|revoir|ʁ(ə)vwaʁ|пересматривать
|la perspective|pɛʁspɛktiv|перспектива
|le défaut|defo|недостаток
|précieux|pʁesjø, -jøz|драгоценный
|le retard|ʁ(ə)taʁ|опоздание
|la démocratie|demɔkʁasi|демократия
|renforcer|ʁɑ̃fɔʁse|усиливать
|le silence|silɑ̃s|молчание
|la troupe|tʁup|труппа
