# 066 - Mots fréquents

|la bataille|batɑj|битва
|le port|pɔʁ|порт
|la naissance|nɛsɑ̃s|рождение
|majeur|maʒœʁ|больший
|froid|fʁwa, -d|холодный
|le hôpital|ɔpital; o|больница
|le circuit|siʁkɥi|окружность
|terrible|teʁibl|ужасный
|le degré|dəgʁe|ступень
|la exigence|ɛgziʒɑ̃s|требовательность
|le rêve|ʁɛv|сон
|inspirer|ɛ̃spiʁe|вдыхать
|opérer|ɔpeʁe|управлять
|entièrement|ɑ̃tjɛʁmɑ̃|вцелиом
|le chapitre|ʃapitʁ|глава (в книге)
|quotidien|kɔtidjɛ̃, -jɛn|ежедневный
|clairement|klɛʁmɑ̃|ясно
|joindre|ʒwɛ̃dʁ|соединять
|léger|leʒe, -ɛʁ|лёгкий
|permanent|pɛʁmanɑ̃, -t|перманентный
