# 073 - Mots fréquents

|favorable|favɔʁabl|благоприятный
|la obligation|ɔbligasjɔ̃|обязанность
|le août|u(t)|август
|attribuer|atʁibɥe|присваивать
|courir|kuʁiʁ|бежать
|le examen|ɛgzamɛ̃|экзамен
|le personnage|pɛʁsɔnaʒ|персонаж
|dénoncer|denɔ̃se|разоблачать
|inconnu|ɛ̃kɔny|неизвестный
|échanger|eʃɑ̃ʒe|обменивать
|montant|mɔ̃tɑ̃, -t|восходящий
|éliminer|elimine|устранять
|la ouverture|uvɛʁtyʁ|отверстие
|le tableau|tablo|картина
|exclure|ɛksklyʁ|исключать
|le meurtre|mœʁtʁ|убийство
|exemplaire|ɛgzɑ̃plɛʁ|примерный
|la propriété|pʁɔpʁijete|собственность
|final|final, -o|финальный
|le site|sit|местность
