# 074 - Mots fréquents

|la séance|seɑ̃s|заседание
|la durée|dyʁe|продолжительность
|élire|eliʁ|избирать
|la baisse|bɛs|понижение
|la inquiétude|ɛ̃kjetyd|беспокойство
|israélien|isʁaeljɛ̃, -jɛn|израильский
|la représentation|ʁ(ə)pʁezɑ̃tasjɔ̃|предъявление
|pareil|paʁɛj|подобный
|le mandat|mɑ̃da|мандат
|quinze|kɛ̃z|пятнадцать
|vide|vid|пустой
|le statut|staty|статут
|le essai|esɛ|испытание
|sourire|suʁiʁ|улыбаться
|italien|italjɛ̃, -jɛn|итальянский
|suggérer|sygʒeʁe|внушать
|interrompre|ɛ̃teʁɔ̃pʁ|прерывать
|au|o|к (à + le)
|la agence|aʒɑ̃s|агентство
|la usine|yzin|завод
