# 075 - Mots fréquents

|unir|yniʁ|объединять
|le rang|ʁɑ̃|ранг
|le employé|ɑ̃plwaje|служащий
|le sommet|sɔmɛ|вершина
|franchir|fʁɑ̃ʃiʁ|переходить
|évident|evidɑ̃, -t|явный
|le comportement|kɔ̃pɔʁtəmɑ̃|поведение
|la fête|fɛt|праздник
|le sol|sɔl|земля
|écarter|ekaʁte|раздвигать
|la vague|vag|волна
|la réduction|ʁedyksjɔ̃|редукция
|culturel|kyltyʁɛl|культурный
|la coopération|kɔɔpeʁasjɔ̃|кооперация
|la vertu|vɛʁty|добродетель
|le leader|lidœʁ|лидер
|la taille|tɑj|размер
|contenu|kɔ̃t(ə)ny|содержимое
|la distance|distɑ̃s|дистанция
|le automne|ɔtɔn|осень
