# 077 - Mots fréquents

|le bruit|bʁɥi|шум
|la humanité|ymanite|человечество
|la radio|ʁadjo|радио
|moi|mwa|я (отглагольное)
|le syndicat|sɛ̃dika|синдикат
|prudent|pʁydɑ̃, -t|осторожный
|la soirée|swaʁe|вечер
|le vol|vɔl|полёт
|marcher|maʁʃe|ходить
|le tiers|tjɛʁ, -s|треть
|le mètre|mɛtʁ|метр
|aborder|abɔʁde|высаживаться
|occidental|ɔksidɑ̃tal, -o|западный
|suffisant|syfizɑ̃, -t|достаточный
|le ciel|sjɛl|небо
|tromper|tʁɔ̃pe|обманывать
|modeste|mɔdɛst|скромный
|éloigner|elwaɲe|удалять
|la seconde|s(ə)gɔ̃d|секунда
|malheureusement|maløʁøzmɑ̃|к несчастью
