# 078 - Mots fréquents

|évaluer|evalɥe|оценивать
|extrêmement|ɛkstʁɛmmɑ̃|крайне
|interne|ɛ̃tɛʁn|внутренний
|voire|vwaʁ|даже
|le témoignage|temwaɲaʒ|свидетельство
|messieurs|mesjø|господа
|effectivement|efɛktivmɑ̃|действительно
|le gaz|gɑz|газ
|le acteur|aktœʁ, -ʁis|актёр
|adapter|adapte|адаптироваться
|la cour|kuʁ|двор
|la dépense|depɑ̃s|расход
|le souci|susi|беспокойство
|le expert|ɛkspɛʁ, -t|эксперт
|la sœur|sœʁ|сестра
|relativement|ʁ(ə)lativmɑ̃|относительно
|comparer|kɔ̃paʁe|сравнивать
|le procès|pʁɔsɛ|процесс
|provenir|pʁɔv(ə)niʁ|происходить
|réellement|ʁeɛlmɑ̃|действительно
