# 079 - Mots fréquents

|conscient|kɔ̃sjɑ̃, -t|сознательный
|céder|sede|уступать
|médical|medikal, -o|медицинский
|diviser|divize|разделять
|la colère|kɔlɛʁ|гнев
|patient|pasjɑ̃, -t|терпеливый
|la notion|nosjɔ̃|понятие
|le siège|sjɛʒ|сиденье
|la hausse|ˈos|повышение
|le mécanisme|mekanism|механизм
|traditionnel|tʁadisjɔnɛl|традиционный
|le quart|kaʁ, kaʁt|четвёртый
|approcher|apʁɔʃe|приближать
|le trafic|tʁafik|движение
|catholique|katɔlik|католический
|le foyer|fwaje|очаг
|adulte|adylt|взрослый
|reprocher|ʁ(ə)pʁɔʃe|упрекать
|le métier|metje|ремесло
|la modification|mɔdifikasjɔ̃|модификация
