# 081 - Mots fréquents

|la fenêtre|f(ə)nɛtʁ|окно
|incapable|ɛ̃kapabl|неспособный
|hésiter|ezite|сомневаться
|la menace|mənas|угроза
|universel|ynivɛʁsɛl|универсальный
|la jeunesse|ʒœnɛs|молодость
|voler|vɔle|летать, воровать
|résister|ʁeziste|сопротивляться
|profondément|pʁɔfɔ̃demɑ̃|глубоко
|la séparation|sepaʁasjɔ̃|разделение
|inutile|inytil|бесполезный
|le refus|ʁ(ə)fy|отказ
|le poisson|pwasɔ̃|рыба
|la révolution|ʁevɔlysjɔ̃|революция
|le prisonnier|pʁizɔnje, -jɛʁ|заключённый
|avouer|avwe|сознаваться
|saluer|salɥe|здороваться
|le fer|fɛʁ|железо
|familial|familjal, -jo|семейный
|le cinéma|sinema|кино
