# 082 - Mots fréquents

|le calcul|kalkyl|вычисление
|armé|aʁme|вооружённый
|le enseignement|ɑ̃sɛɲ(ə)mɑ̃|преподавание
|étonnant|etɔnɑ̃, -t|удивительный
|la dizaine|dizɛn|десяток
|dessus|d(ə)sy|наверху
|achever|aʃ(ə)ve|достигать
|le fonctionnaire|fɔ̃ksjɔnɛʁ|служащий
|la instruction|ɛ̃stʁyksjɔ̃|образование
|pratiquement|pʁatikmɑ̃|практически
|oser|oze|осмеливаться
|rassembler|ʁasɑ̃ble|собирать
|la réalisation|ʁealizasjɔ̃|реализация
|fiscal|fiskal, -o|фискальный
|la démarche|demaʁʃ|выступление
|corriger|kɔʁiʒe|исправлять
|le volume|vɔlym|том
|la réussite|ʁeysit|успех
|le désir|deziʁ|желание
|pur|pyʁ|чистый
