# 085 - Mots fréquents

|annuel|anɥɛl|годовой
|le commentaire|kɔmɑ̃tɛʁ|комментарий
|marier|maʁje|женить
|le spectacle|spɛktakl|спектакль
|le pari|paʁi|пари
|célèbre|selɛbʁ|знаменитый
|le ouest|wɛst|запад
|le sexe|sɛks|пол
|eh|ˈe|э!
|le recours|ʁ(ə)kuʁ|использование
|le accent|aksɑ̃|акцент
|introduire|ɛ̃tʁɔdɥiʁ|вводить
|communiste|kɔmynist|коммунистический
|le concert|kɔ̃sɛʁ|концерт
|la couverture|kuvɛʁtyʁ|одеяло
|la religion|ʁ(ə)liʒjɔ̃|религия
|le appui|apɥi|поддержка
|le théâtre|teɑtʁ|театр
|saint|sɛ̃, -t|святой
|conséquent|kɔ̃sekɑ̃, -t|последовательный
