# 087 - Mots fréquents

|la forêt|fɔʁɛ|лес
|le outil|uti|инструмент
|la vacance|vakɑ̃s|вакансия
|suffisamment|syfizamɑ̃|достаточно
|le défi|defi|вызов
|le front|fʁɔ̃|фронт
|suspendre|syspɑ̃dʁ|подвешивать
|calme|kalm|спокойный
|la montagne|mɔ̃taɲ|гора
|sévère|sevɛʁ|суровый
|apparemment|apaʁamɑ̃|вероятно
|la présidence|pʁezidɑ̃s|председательство
|le magasin|magazɛ̃|магазин
|le commissaire|kɔmisɛʁ|комиссар
|le écrivain|ekʁivɛ̃|писатель
|monétaire|mɔnetɛʁ|монетный
|le ouvrage|uvʁaʒ|работа
|la réputation|ʁepytasjɔ̃|репутация
|le cabinet|kabinɛ|кабинет
|le écart|ekaʁ|расстояние
