# 088 - Mots fréquents

|le chien|ʃjɛ̃, -jɛn|собака
|la surveillance|syʁvɛjɑ̃s|наблюдение
|indispensable|ɛ̃dispɑ̃sabl|необходимый
|la conversation|kɔ̃vɛʁsasjɔ̃|разговор
|la surface|syʁfas|поверхность
|féliciter|felisite|поздравлять
|sûrement|syʁmɑ̃|верно
|la bombe|bɔ̃b|бомба
|la efficacité|efikasite|эффективность
|le euro|øʁo|евро
|la phase|fɑz|фаза
|la confusion|kɔ̃fyzjɔ̃|конфузия
|la précision|pʁesizjɔ̃|точность
|la compétence|kɔ̃petɑ̃s|компетенция
|le bilan|bilɑ̃|баланс
|immense|i(m)mɑ̃s|необъятный
|massif|masif, -v|массивный
|la chute|ʃyt|падение
|constant|kɔ̃stɑ̃, -t|постоянный
|sain|sɛ̃, sɛn|здоровый
