# 089 - Mots fréquents

|intégrer|ɛ̃tegʁe|интегрировать
|aérien|aeʁjɛ̃, -jɛn|воздушный
|contrairement|kɔ̃tʁɛʁmɑ̃|вопреки
|la pierre|pjɛʁ|камень
|socialiste|sɔsjalist|социалистический
|fortement|fɔʁtəmɑ̃|сильно
|régulier|ʁegylje, -jɛʁ|регулярный
|la boîte|bwat|ящик
|financer|finɑ̃se|финансировать
|la théorie|teɔʁi|теория
|le hôtel|ɔtɛl|отель
|nier|nje|отрицать
|le phénomène|fenɔmɛn|феномен
|étonner|etɔne|удивлять
|la totalité|tɔtalite|совокупность
|le sort|sɔʁ|судьба
|accéder|aksede|доходить
|la église|egliz|церковь
|récupérer|ʁekypeʁe|возмещать
|doter|dɔte|снабжать
