# 094 - Mots fréquents

|immeuble|imœbl|недвижимый
|la passion|pasjɔ̃|страсть
|la rupture|ʁyptyʁ|распад
|le office|ɔfis|служба
|compliquer|kɔ̃plike|усложнять
|assumer|asyme|принимать
|partiel|paʁsjɛl|частичный
|éprouver|epʁuve|испытывать
|le argument|aʁgymɑ̃|аргумент
|la planète|planɛt|планета
|le maire|mɛʁ|мэр
|délicat|delika, -t|деликатный
|le attentat|atɑ̃ta|покушение
|boire|bwaʁ|пить
|la richesse|ʁiʃɛs|богатство
|la caisse|kɛs|касса
|le hasard|ˈazaʁ|случай
|le héros|ˈeʁo|герой
|la oreille|ɔʁɛj|ухо
|incident|ɛ̃sidɑ̃, -t|случайный
