# 099 - Mots fréquents

|la prudence|pʁydɑ̃s|осторожность
|le stade|stad|стадия
|la liaison|ljɛzɔ̃|соединение
|la consultation|kɔ̃syltasjɔ̃|консультация
|québécois|kebekwa, -z|квебекец
|ordonner|ɔʁdɔne|упорядочивать
|le bonjour|bɔ̃ʒuʁ|приветствие
|la morale|mɔʁal|мораль
|contester|kɔ̃tɛste|оспаривать
|nécessairement|nesesɛʁmɑ̃|непременно
|la détermination|detɛʁminasjɔ̃|решимость
|le congrès|kɔ̃gʁɛ|конгресс
|semblable|sɑ̃blabl|похожий
|préoccuper|pʁeɔkype|озабочивать
|le dépôt|depo|вклад
|la considération|kɔ̃sideʁasjɔ̃|рассмотрение
|multiplier|myltiplije|умножать
|la dame|dam|дама
|la joie|ʒwa|радость
|durable|dyʁabl|долговременный
