# 104 - Mots fréquents

|le bloc|blɔk|блок
|électrique|elɛktʁik|электрический
|le seuil|sœj|порог
|croissant|kʁwasɑ̃, -t|растущий
|classer|klɑse|классифицировать
|la audience|odjɑ̃s|аудиенция
|multiple|myltipl|многочисленный
|la minorité|minɔʁite|меньшинство
|la phrase|fʁɑz|фраза
|provisoire|pʁɔvizwaʁ|временный
|hein|ˈɛ̃|а?
|la disparition|dispaʁisjɔ̃|исчезновение
|dynamique|dinamik|динамичный
|renverser|ʁɑ̃vɛʁse|опрокидывать
|le trouble|tʁubl|тревога
|se désoler|dezɔle|сокрушаться
|accélérer|akseleʁe|ускорять
|la littérature|liteʁatyʁ|литература
|résider|ʁezide|проживать
|le adolescent|adɔlesɑ̃, -t|подросток
